American,Americans,Q846570
Arafat,Yasser Arafat,Q34211
Brazil,Brazil,Q155
CD,compact disc,Q34467
FBI,Federal Bureau of Investigation,Q8333
Freud,Sigmund Freud,Q9215
Harvard,Harvard University,Q13371
Israel,Israel,Q801
Jackson,,
Japanese,Japanese people,Q161652
Jerusalem,Jerusalem,Q1218
Maradona,Diego Maradona,Q17515
Mars,Mars,Q111
Mexico,Mexico,Q96
OPEC,OPEC,Q7795
Palestinian,Palestinian people,Q201190
Wednesday,Wednesday,Q128
Yale,Yale University,Q49112
abuse,abuse,Q600571
accommodation,,
activity,activity,Q1914636
admission,,
airport,airport,Q1248784
alcohol,alcohol,Q156
aluminum,aluminum,Q663
animal,animal,Q729
announcement,announcement,Q567303
antecedent,antecedent,Q260460
anxiety,anxiety,Q154430
approach,approach,Q27231134
architecture,architecture,Q12271
archive,archive,Q166118
area,area,Q11500
arrangement,,
arrival,,
article,article,Q191067
artifact,artefact,Q8205328
association,association,Q48204
astronomer,astronomer,Q11063
asylum,,
atmosphere,atmosphere,Q8104
attempt,attempt,Q16886387
attitude,attitude,Q622645
automobile,automobile,Q1420
avenue,avenue,Q207934
baby,baby,Q998
bank,bank,Q22687
baseball,baseball,Q5369
basketball,basketball,Q5372
bed,bed,Q42177
benchmark,,
bird,bird,Q5113
bishop,bishop,Q29182
block,,
board,,
book,book,Q571
boxing,boxing,Q32112
boy,boy,Q3010
brandy,brandy,Q146470
bread,bread,Q7802
brother,brother,Q10861465
buck,,
butter,butter,Q34172
cabbage,cabbage,Q35051
calculation,calculation,Q622821
canyon,canyon,Q150784
car,car,Q1144312
card,,
carnivore,carnivore,Q81875
cash,cash,Q693464
cat,cat,Q146
category,,
cell,cell,Q7868
cemetery,cemetery,Q39614
center,centre,Q23595
century,century,Q578
challenge,challenge,Q21075823
championship,championship,Q1079023
chance,chance,Q3851114
change,change,Q1150070
chemistry,chemistry,Q2329
children,child,Q7569
chord,chord,Q170439
citizen,citizen,Q1020994
clinic,clinic,Q1774898
closet,closet,Q1723368
clothes,clothing,Q11460
coast,coast,Q93352
cock,rooster,Q2216236
coffee,coffee,Q8486
cognition,cognition,Q2200417
collection,,
combination,combination,Q202805
communication,communication,Q11024
company,business enterprise,Q4830453
competition,competition,Q476300
computation,computation,Q12525525
computer,computer,Q68
concert,concert,Q182832
conclusion,,
confidence,confidence,Q4116378
constellation,constellation,Q8928
consumer,consumer,Q22855
country,country,Q6256
crane,Crane,Q25365
credibility,credibility,Q1530061
credit,credit,Q182076
crew,crew,Q345844
crisis,crisis,Q381072
criterion,criterion,Q1789452
critic,critic,Q6430706
cucumber,Cucumis sativus,Q23425
culture,culture,Q11042
cup,cup,Q2100893
currency,currency,Q8142
dawn,dawn,Q11326182
day,day,Q573
death,death,Q4
decoration,decoration,Q6149036
defeat,defeat,Q14631121
defeating,,
delay,delay,Q21075709
departure,departure,Q21171241
deployment,,
deposit,deposit ,Q5260774
depression,mental depression ,Q4340209
development,development,Q26132748
direction,direction,Q2151613
disability,disability,Q12131
disaster,disaster,Q3839081
discipline,discipline,Q1315911
discovery,discovery,Q753297
dividend,dividend,Q181201
doctor,physician,Q39631
dollar,United States dollar ,Q4917
drink,drink,Q40050
drought,drought,Q43059
drug,drug,Q8386
ear,ear,Q7362
earning,,
eat,,
ecology,ecology,Q7150
effort,effort,Q16515196
egg,egg,Q17147
emergency,emergency,Q5070802
energy,energy,Q11379
entity,entity,Q35120
environment,environment,Q2249676
equality,equality,Q773009
equipment,equipment,Q16798631
evidence,evidence,Q1347572
example,example,Q14944328
exhibit,exhibit,Q11985689
experience,experience,Q164359
eye,eye,Q7364
family,family,Q8436
fauna,fauna,Q104021
fear,fear,Q44619
feline,Felidae,Q25265
fertility,fertility,Q964401
fighting,combat,Q650711
film,film,Q11424
fingerprint,fingerprint,Q178022
five,5,Q203
flight,flight,Q206021
flood,flood,Q8068
focus,focus ,Q190909
food,food,Q2095
football,association football,Q2736
forecast,prediction,Q748250
forest,forest,Q4421
fruit,fruit,Q3314483
fuck,,
furnace,furnace,Q1709184
gain,,
galaxy,galaxy,Q318
game,game,Q11410
gem,gemstone,Q83437
gender,gender ,Q48277
gin,gin,Q959362
girl,girl,Q3031
glass,glass,Q11469
government,government,Q7188
governor,governor,Q132050
graveyard,cemetery,Q39614
grocery,,
group,group,Q16887380
hardware,computer hardware,Q3966
health,health,Q12147
hike,hiking,Q12014035
hill,hill,Q54050
history,history,Q309
holy,,
hospital,hospital,Q16917
hotel,hotel,Q27686
hundred,100,Q37413
hypertension,hypertension,Q41861
image,image,Q478798
impartiality,impartiality,Q3149193
implement,device,Q1183543
importance,importance,Q16886469
index,index,Q2303886
industry,industry,Q8148
information,information,Q11028
infrastructure,infrastructure,Q121359
inmate,prisoner,Q1862087
institution,institution,Q178706
insurance,insurance,Q43183
interest,interest,Q170924
internet,Internet,Q75
interview,interview,Q178651
investigation,,
investor,investor,Q557880
isolation,,
issue,,
jaguar,jaguar,Q35694
jazz,jazz,Q8341
jewel,gemstone,Q83437
journal,journal,Q49850
journey,travel,Q61509
keyboard,keyboard,Q1921606
kilometer,kilometre,Q828224
kind,,
king,king,Q12097
laboratory,laboratory,Q483242
lad,boy,Q3010
landscape,landscape,Q107425
laundering,,
law,law,Q7748
lawyer,lawyer,Q40348
lesson,lesson,Q379833
liability,liability,Q546972
library,library,Q7075
life,life,Q3
line,line,Q37105
liquid,liquid,Q11435
listing,,
live,,
lobster,Nephropidae,Q1038113
loss,failure,Q1121708
love,love,Q316
lover,lover,Q16937917
luxury,luxury,Q10953913
madhouse,,
magician,magician,Q2488257
maker,,
mammal,mammal,Q7377
man,man,Q8441
manslaughter,manslaughter,Q3882220
marathon,marathon,Q40244
market,market,Q37654
marriage,marriage,Q8445
match,sport competition,Q13406554
medal,medal,Q131647
media,,
memorabilia,souvenir,Q212469
metal,metal,Q11426
midday,noon,Q168182
mile,mile,Q253276
mind,mind,Q450
minister,minister,Q83307
ministry,ministry,Q192350
minority,minority group,Q30103
money,money,Q1368
monk,monk,Q733786
month,month,Q5151
moon,Moon,Q405
morality,morality,Q48324
mother,mother,Q7560
motto,motto,Q42470
mouth,mouth,Q9635
movie,film,Q11424
murder,murder,Q132821
museum,museum,Q33506
music,music,Q638
nation,country,Q6266
nature,nature,Q7860
network,,
news,news,Q38926
noon,noon,Q168182
number,number,Q11563
nurse,nurse,Q186360
object,object,Q488383
observation,observation,Q193181
office,office,Q182060
oil,oil,Q42962
opera,opera,Q1344
operation,,
oracle,oracle,Q217123
organism,organism,Q7239
paper,paper,Q11472
party,political party,Q7278
payment,payment,Q1148747
peace,peace,Q454
people,people,Q2472587
percent,percentage,Q11229
performance,performance,Q35140
personnel,,
phone,telephone,Q11035
physics,physics,Q413
place,geographical point,Q2221906
plan,plan,Q1371819
plane,plane,Q17285
planet,planet,Q634
planning,planning,Q309100
popcorn,popcorn,Q165112
population,population,Q2625603
possession,property,Q6422240
possibility,possibility,Q21170479
potato,potato,Q16587531
practice,practice,Q334600
precedent,precedent,Q665141
prejudice,prejudice,Q179742
preparation,preparation,Q19833559
preservation,,
president,president,Q30461
price,price,Q160151
problem,problem,Q621184
production,production,Q739302
professor,professor,Q121594
profit,profit,Q26911
project,project,Q170584
prominence,,
property,property,Q6422240
proton,proton,Q2294
proximity,nearness,Q19267375
psychiatry,psychiatry,Q7867
psychology,psychology,Q9418
quarrel,quarreling,Q16546845
queen,queen regnant,Q19643
rabbi,rabbi,Q133485
racism,racism,Q8461
racket,racket,Q240502
radio,radio receiver,Q159391
reason,reason,Q178354
recess,recess,Q176274
recognition,recognition,Q7302601
recommendation,,
record,,
recovery,,
registration,registration,Q2399307
report,report,Q10870555
reservation,,
rock,rock,Q8063
rook,rook,Q25386
rooster,rooster,Q2216236
round,,
row,,
school,school,Q3914
science,science,Q336
scientist,scientist,Q901
sea,sea,Q165
seafood,seafond,Q192935
season,season,Q24384
secret,secrecy,Q1503443
secretary,secretary,Q80687
seepage,,
senate,senate,Q2570643
serial,serial,Q15709880
series,,
seven,7,Q23350
sex,sexual intercourse,Q5873
shore,bank,Q468756
shower,shower,Q7863
sign,sign,Q3695082
similarity,,
situation,situation,Q2141565
size,magnitude,Q2091629
skin,skin,Q1074
slave,slave,Q12773225
smart,,
smile,smile,Q487
soap,soap,Q34396
soccer,association,Q2736
software,software,Q7397
space,space,Q107
sprint,sprint,Q624482
star,star,Q523
start,,
stock,stock,Q1196314
stove,stove,Q203789
street,street,Q79007
string,string,Q11064354
stroke,cerebrovascular disease,Q12202
student,student,Q48282
stupid,stupidity,Q795
substance,substance,Q27166344
sugar,sugar,Q11002
summer,summer,Q1313
sun,Sun,Q525
surface,surface,Q484298
tableware,tableware,Q851782
team,team,Q327245
telephone,telephone,Q11035
television,television,Q289
tennis,tennis,Q847
term,term,Q1969448
territory,territory,Q183366
terror,terror,Q13648784
theater,theater,Q11635
thunderstorm,thunderstorm,Q2857578
ticket,fare,Q1142227
tiger,tiger,Q19939
tool,tool,Q39546
tournament,tournament,Q500834
trading,trade,Q601401
train,train,Q870
travel,travel,Q61509
treatment,treatment,Q26256310
troops,troop,Q1080137
type,type,Q21146257
valor,valor,Q17037955
victim,victim,Q1851760
victory,victory,Q50000
video,video,Q34508
viewer,,
virtuoso,virtuoso,Q214970
vodka,vodka,Q214970
volunteer,volunteer,Q30224364
voyage,,
war,war,Q198
warning,warning,Q1759104
water,water,Q283
wealth,wealth,Q200535
weapon,weapon,Q728
weather,weather,Q11663
wine,wine,Q282
withdrawal,,
wizard,magician,Q2488257
woman,woman,Q467
wood,wood,Q287
woodland,woodland,Q3241565
word,word,Q8171
world,world,Q16502
year,year,Q577
yen,Japanese yen,Q8146
zoo,zoo,Q43501
